step,best_test_acc,running_best,node_id,description
0,91.61,91.61,eb1eae3e-827b-46c2-853d-08c48e2ef4c4,Understanding baseline...
1,80.16,91.61,af2046ca-5ac8-430d-a76c-65c6cd140ee4,"Use a wider ResNet (WRN-16-4) with modern training techniques: CutMix augmentation, cosine annealing LR schedule, larger batch size with higher LR, and label smoothing. This is a fundamentally different direction from the baseline ResNet-20 - using a wider but shallower network with stronger regularization to push accuracy higher within the time budget."
2,92.3,92.3,ebea8fde-1c17-4993-935c-942089ef79b5,"Keep the ResNet architecture but increase depth to ResNet-56 (9 blocks), use the same normalization as baseline (std=1), add Cutout augmentation, use cosine annealing LR with warm restarts, increase weight decay slightly, and use Nesterov momentum. The key insight from memory is that the WRN approach failed due to too many changes at once (especially normalization std and CutMix), so this approach stays closer to the baseline while making targeted improvements: deeper model + Cutout + better LR schedule."
3,94.21,94.21,a7da1b71-b60d-4378-9e2b-287549e59e6b,"Try a different direction: use a PreAct ResNet-18 (larger model with pre-activation blocks), combine with aggressive augmentation (AutoAugment for CIFAR-10 + Cutout), use OneCycleLR schedule for fast convergence, larger batch size (256) with scaled LR, and moderate weight decay. This explores a different architecture family (PreAct ResNet) and a different LR schedule (OneCycleLR) compared to previous attempts which used standard ResNet with MultiStep or Cosine schedules."
4,94.31,94.31,c1fedd24-5b3a-4cbd-aefa-53ec2162ecf3,"Explore a different direction: use a PyramidNet-style architecture with ShakeDrop regularization, combined with aggressive data augmentation (AutoAugment + Cutout). Previous best was PreActResNet-18 with Cutout at 94.21%. This time, try a different approach: use EfficientNet-like ideas with a wider ResNet (WRN-28-10 or similar), but carefully tuned. Specifically, I'll use a WRN-16-8 with proper settings (keeping std=1 normalization that works), Cutout, cosine LR with no restarts (single cycle tuned to budget), and moderate regularization. The key difference from the failed WRN attempt is: no CutMix, no label smoothing, keep std=(1,1,1), use torch.compile, and a single cosine cycle."
5,93.88,94.31,3b632683-144a-4608-b535-f3503f9e2efc,"Explore a different direction: use PreActResNet-18 (which achieved 94.21%) but enhance it with multiple advanced techniques: (1) CutMix + Cutout combined augmentation, (2) mixup data augmentation with probability-based switching between CutMix and mixup, (3) use SWA (Stochastic Weight Averaging) in the final phase of training for better generalization, (4) use a single OneCycleLR schedule carefully tuned to the time budget, and (5) use torch.compile for speed. The key new idea is SWA + mixed augmentation (CutMix/mixup) which hasn't been tried yet."
6,91.38,94.31,c7793efd-ba19-4e64-a6a5-df9160d6a624,"Explore a different direction: use a DenseNet-like architecture (DenseNet-BC with growth rate 12, depth 100) which is known to achieve excellent CIFAR-10 accuracy. Combined with test-time augmentation (TTA), Cutout, cosine annealing LR (single cycle tuned to budget), and torch.compile. DenseNet hasn't been tried yet and is a fundamentally different architecture from ResNet/WRN/PreActResNet. If DenseNet-100 is too slow, fall back to DenseNet-40. Also try using exponential moving average (EMA) of weights for better generalization."
7,94.51,94.51,a7eb3445-cc8a-4149-9f8d-3e0db812fff3,"Try a different approach: use PreActResNet-18 (best architecture so far at 94.21%) but with a carefully tuned single cosine cycle, combined with knowledge distillation from a self-ensemble (born-again network style), and test-time augmentation (TTA) to boost final accuracy. Key differences from previous PreActResNet-18 attempt: (1) TTA with horizontal flips at evaluation time, (2) carefully estimated total steps for single cosine cycle with no restarts, (3) gradient clipping for stability, (4) slightly larger batch size (256) with scaled LR for faster training."
8,93.82,94.51,3426b233-30bf-49ab-ac33-21bddb77b7b5,"Use PreActResNet-18 (best architecture so far) with a carefully calibrated single cosine cycle that matches the actual training budget (no restarts), combined with Cutout augmentation, EMA weights, and a larger batch size (512) with scaled LR using OneCycleLR for super-convergence. The key new idea is using OneCycleLR with a high max_lr and large batch size for faster, more effective training, plus proper total_steps estimation to avoid the restart issues seen in previous experiments."
9,90.34,94.51,7fdf9d9f-3c04-4a1f-ba63-b8e9cbeff3a3,"Explore a new direction: use PreActResNet-18 (best architecture family, 94.51% best) but with a properly calibrated cosine schedule using CosineAnnealingLR with T_max set to match actual training steps, combined with progressive resizing (train on 24x24 crops initially then switch to 32x32 for final phase to get more steps early), AutoAugment CIFAR-10 policy + Cutout, and EMA with proper decay. The key new idea is using AutoAugment (not tried with PreActResNet-18 before) and a properly calibrated single cosine cycle to avoid the restart issues that plagued previous experiments."
